FIPS,State,County,OUTZScore,OUTRank,FACTZScore,FACTRank
48113,Texas,Dallas,-0.42,58,0.08,130
48115,Texas,Dawson,-0.02,117,0.26,175
48117,Texas,Deaf Smith,-0.09,106,0.20,165
48119,Texas,Delta,0.39,170,-0.01,107
48121,Texas,Denton,-1.49,4,-1.00,5
48123,Texas,DeWitt,-0.07,113,0.04,121
48125,Texas,Dickens,,NR,,NR
48127,Texas,Dimmit,-0.35,67,0.48,213
48129,Texas,Donley,0.28,155,-0.18,65
48131,Texas,Duval,0.39,169,0.34,195
48133,Texas,Eastland,0.69,203,0.14,148
48135,Texas,Ector,0.47,181,0.31,188
48137,Texas,Edwards,-0.10,104,0.32,189
48139,Texas,Ellis,-0.79,23,-0.51,19
48141,Texas,El Paso,-0.48,48,0.10,137
48143,Texas,Erath,-0.95,18,0.10,135
48145,Texas,Falls,0.53,187,0.48,211
48147,Texas,Fannin,0.54,188,0.21,168
48149,Texas,Fayette,-0.26,81,-0.35,41
48151,Texas,Fisher,0.96,221,-0.30,48
48153,Texas,Floyd,0.52,186,0.16,152
48155,Texas,Foard,,NR,,NR
48157,Texas,Fort Bend,-1.21,5,-1.01,4
48159,Texas,Franklin,-0.20,88,-0.04,101
48161,Texas,Freestone,-0.01,119,-0.16,73
48163,Texas,Frio,-0.11,99,0.28,182
48165,Texas,Gaines,-0.42,57,0.19,161
48167,Texas,Galveston,-0.29,77,-0.37,39
48169,Texas,Garza,0.27,154,0.22,170
48171,Texas,Gillespie,-1.11,10,-0.88,7
48173,Texas,Glasscock,,NR,,NR
48175,Texas,Goliad,-1.11,9,-0.41,32
48177,Texas,Gonzales,0.34,161,0.21,169
48179,Texas,Gray,0.68,201,0.13,143
48181,Texas,Grayson,0.06,130,-0.24,55
48183,Texas,Gregg,0.43,173,-0.01,106
48185,Texas,Grimes,0.10,135,0.31,187
48187,Texas,Guadalupe,-0.84,20,-0.56,15
48189,Texas,Hale,-0.21,86,0.19,162
48191,Texas,Hall,0.60,197,0.35,197
48193,Texas,Hamilton,-0.23,82,-0.13,81
48195,Texas,Hansford,-0.43,55,-0.26,53
48197,Texas,Hardeman,-1.11,11,0.14,149
48199,Texas,Hardin,0.04,125,-0.09,88
48201,Texas,Harris,-0.40,59,-0.08,90
48203,Texas,Harrison,0.38,165,0.18,154
48205,Texas,Hartley,-0.36,65,-0.45,25
48207,Texas,Haskell,0.07,131,0.01,108
48209,Texas,Hays,-1.20,7,-0.55,16
48211,Texas,Hemphill,-0.32,72,-0.54,17
48213,Texas,Henderson,0.35,163,0.16,151
48215,Texas,Hidalgo,-0.65,34,0.67,225
48217,Texas,Hill,0.51,185,0.10,138
48219,Texas,Hockley,-0.12,98,-0.22,57
48221,Texas,Hood,-0.62,35,-0.48,22
